modGenes	module	colourRGB
ENSBTAG00000007736	red	#FF0000
ENSBTAG00000007740	blue	#0000FF
ENSBTAG00000007743	turquoise	#40E0D0
ENSBTAG00000007746	salmon	#FA8072
ENSBTAG00000007754	turquoise	#40E0D0
ENSBTAG00000007755	turquoise	#40E0D0
ENSBTAG00000007756	turquoise	#40E0D0
ENSBTAG00000007757	turquoise	#40E0D0
ENSBTAG00000007759	blue	#0000FF
ENSBTAG00000007761	blue	#0000FF
ENSBTAG00000007763	turquoise	#40E0D0
ENSBTAG00000007766	blue	#0000FF
ENSBTAG00000007773	red	#FF0000
ENSBTAG00000007776	brown	#A52A2A
ENSBTAG00000007779	yellow	#FFFF00
ENSBTAG00000007783	blue	#0000FF
ENSBTAG00000007784	purple	#A020F0
ENSBTAG00000007787	yellow	#FFFF00
ENSBTAG00000007788	turquoise	#40E0D0
ENSBTAG00000007791	blue	#0000FF
ENSBTAG00000007797	green	#00FF00
ENSBTAG00000007802	purple	#A020F0
ENSBTAG00000007804	pink	#FFC0CB
ENSBTAG00000007806	purple	#A020F0
ENSBTAG00000007813	turquoise	#40E0D0
ENSBTAG00000007818	turquoise	#40E0D0
ENSBTAG00000007821	red	#FF0000
ENSBTAG00000007825	grey60	#999999
ENSBTAG00000007830	green	#00FF00
ENSBTAG00000007833	green	#00FF00
ENSBTAG00000007837	blue	#0000FF
ENSBTAG00000007840	purple	#A020F0
ENSBTAG00000007847	magenta	#FF00FF
ENSBTAG00000007859	lightcyan	#E0FFFF
ENSBTAG00000007860	blue	#0000FF
ENSBTAG00000007863	pink	#FFC0CB
ENSBTAG00000007865	turquoise	#40E0D0
ENSBTAG00000007867	brown	#A52A2A
ENSBTAG00000007871	turquoise	#40E0D0
ENSBTAG00000007872	midnightblue	#191970
ENSBTAG00000007875	midnightblue	#191970
ENSBTAG00000007876	blue	#0000FF
ENSBTAG00000007880	blue	#0000FF
ENSBTAG00000007893	turquoise	#40E0D0
ENSBTAG00000007895	purple	#A020F0
ENSBTAG00000007896	blue	#0000FF
ENSBTAG00000007898	blue	#0000FF
ENSBTAG00000007900	turquoise	#40E0D0
ENSBTAG00000007909	black	#000000
